Income,Gender,Age,Age Range,Political Affiliation,Believe in Ghosts
68000,Female,56,55-64,Democrat,No
46000,Male,63,55-64,Independent,No
51000,Male,48,45-54,Republican,No
54000,Female,64,55-64,Democrat,No
83000,Male,61,55-64,Independent,Yes
90000,Female,64,55-64,Republican,No
5000,Female,68,65+,Democrat,No
57000,Female,63,55-64,Democrat,No
47000,Female,44,35-44,Independent,Yes
39000,Female,57,55-64,Democrat,Yes
5000,Female,62,55-64,Democrat,No
84000,Male,62,55-64,Republican,No
104000,Male,46,45-54,Independent,No
23000,Female,62,55-64,Democrat,No
55000,Female,40,35-44,Republican,No
194000,Female,54,45-54,Democrat,Yes
82000,Male,62,55-64,Republican,No
22000,Female,50,45-54,Democrat,Yes
5000,Female,60,55-64,Democrat,No
39000,Male,19,18-24,Independent,Yes
58000,Male,61,55-64,Independent,Yes
54000,Female,57,55-64,Democrat,No
73000,Male,36,35-44,DK/REF,No
26000,Female,63,55-64,Democrat,Yes
61000,Female,55,55-64,Independent,No
67000,Female,56,55-64,Republican,Yes
30000,Female,74,65+,Independent,No
52000,Female,33,25-34,DK/REF,Yes
106000,Male,45,45-54,DK/REF,No
21000,Male,41,35-44,Democrat,No
107000,Male,76,65+,Independent,No
53000,Female,65,65+,Republican,No
26000,Male,48,45-54,Independent,Yes
126000,Male,46,45-54,Independent,No
179000,Male,50,45-54,Republican,No
122000,Female,48,45-54,Republican,No
113000,Female,54,45-54,Independent,Yes
140000,Male,21,18-24,Independent,No
207000,Female,48,45-54,Independent,No
182000,Female,42,35-44,Independent,Yes
71000,Female,40,35-44,Independent,No
77000,Male,18,18-24,Republican,Yes
57000,Female,60,55-64,Republican,Yes
101000,Male,45,45-54,Independent,No
152000,Male,30,25-34,Republican,No
35000,Male,63,55-64,Republican,No
109000,Male,51,45-54,Democrat,No
87000,Male,56,55-64,Republican,No
79000,Female,62,55-64,Democrat,Yes
73000,Female,46,45-54,Democrat,Yes
250000,Male,48,45-54,Democrat,No
21000,Female,64,55-64,Democrat,No
80000,Female,62,55-64,Republican,No
133000,Male,53,45-54,Independent,No
74000,Female,85,65+,Democrat,No
67000,Male,55,55-64,Democrat,No
77000,Female,18,18-24,DK/REF,No
52000,Female,61,55-64,Independent,Yes
